num_trotter_steps,time,vacuum_persistence_probability,000000000000,000100101001,101001000100,001000010110,010110001000
1,0.05,0.9990234375,1023.0,1.0,,,
1,0.20526315789473687,0.9609375,984.0,16.0,9.0,7.0,8.0
1,0.3605263157894737,0.87890625,900.0,44.0,26.0,26.0,28.0
1,0.5157894736842106,0.7578125,776.0,61.0,57.0,70.0,60.0
1,0.6710526315789475,0.6162109375,631.0,100.0,88.0,108.0,97.0
1,0.8263157894736843,0.4775390625,489.0,165.0,130.0,143.0,97.0
1,0.9815789473684211,0.3505859375,359.0,213.0,125.0,210.0,117.0
1,1.136842105263158,0.251953125,258.0,294.0,143.0,218.0,111.0
1,1.2921052631578949,0.1611328125,165.0,400.0,150.0,228.0,81.0
1,1.4473684210526316,0.0908203125,93.0,463.0,124.0,265.0,79.0
1,1.6026315789473686,0.0673828125,69.0,505.0,128.0,268.0,54.0
1,1.7578947368421054,0.0224609375,23.0,600.0,107.0,252.0,42.0
1,1.9131578947368422,0.0126953125,13.0,698.0,71.0,215.0,27.0
1,2.068421052631579,0.005859375,6.0,762.0,49.0,198.0,9.0
1,2.223684210526316,0.001953125,2.0,815.0,43.0,158.0,6.0
1,2.3789473684210525,0.0009765625,1.0,879.0,20.0,119.0,5.0
1,2.5342105263157895,0,0.0,925.0,10.0,88.0,1.0
1,2.6894736842105265,0,0.0,973.0,5.0,46.0,
1,2.844736842105263,0,0.0,1000.0,,24.0,
1,3.0,0,0.0,1020.0,,4.0,
2,0.05,0.9970703125,1021.0,2.0,1.0,,
2,0.20526315789473687,0.958984375,982.0,12.0,15.0,4.0,11.0
2,0.3605263157894737,0.8740234375,895.0,41.0,30.0,34.0,24.0
2,0.5157894736842106,0.7431640625,761.0,70.0,53.0,70.0,70.0
2,0.6710526315789475,0.6279296875,643.0,110.0,93.0,100.0,78.0
2,0.8263157894736843,0.4609375,472.0,161.0,115.0,160.0,116.0
2,0.9815789473684211,0.33984375,348.0,198.0,190.0,162.0,126.0
2,1.136842105263158,0.201171875,206.0,284.0,172.0,205.0,157.0
2,1.2921052631578949,0.0927734375,95.0,310.0,186.0,262.0,171.0
2,1.4473684210526316,0.025390625,26.0,355.0,211.0,275.0,157.0
2,1.6026315789473686,0.00390625,4.0,433.0,185.0,280.0,122.0
2,1.7578947368421054,0.0078125,8.0,470.0,153.0,291.0,102.0
2,1.9131578947368422,0.0400390625,41.0,501.0,127.0,268.0,87.0
2,2.068421052631579,0.09765625,100.0,559.0,91.0,229.0,45.0
2,2.223684210526316,0.1513671875,155.0,541.0,84.0,230.0,14.0
2,2.3789473684210525,0.259765625,266.0,530.0,40.0,186.0,2.0
2,2.5342105263157895,0.29296875,300.0,556.0,18.0,150.0,
2,2.6894736842105265,0.3486328125,357.0,552.0,6.0,101.0,8.0
2,2.844736842105263,0.4248046875,435.0,488.0,,71.0,30.0
2,3.0,0.416015625,426.0,502.0,11.0,45.0,40.0
3,0.05,0.99609375,1020.0,2.0,1.0,1.0,
3,0.20526315789473687,0.9599609375,983.0,7.0,14.0,11.0,9.0
3,0.3605263157894737,0.865234375,886.0,35.0,31.0,32.0,40.0
3,0.5157894736842106,0.7412109375,759.0,63.0,74.0,62.0,66.0
3,0.6710526315789475,0.6337890625,649.0,115.0,90.0,88.0,82.0
3,0.8263157894736843,0.478515625,490.0,139.0,145.0,117.0,133.0
3,0.9815789473684211,0.3076171875,315.0,217.0,160.0,166.0,166.0
3,1.136842105263158,0.1630859375,167.0,281.0,195.0,223.0,158.0
3,1.2921052631578949,0.080078125,82.0,300.0,209.0,236.0,197.0
3,1.4473684210526316,0.01953125,20.0,345.0,199.0,303.0,157.0
3,1.6026315789473686,0,0.0,365.0,233.0,279.0,147.0
3,1.7578947368421054,0.0224609375,23.0,401.0,209.0,268.0,123.0
3,1.9131578947368422,0.0849609375,87.0,384.0,175.0,288.0,90.0
3,2.068421052631579,0.1416015625,145.0,420.0,147.0,241.0,71.0
3,2.223684210526316,0.29296875,300.0,355.0,106.0,220.0,43.0
3,2.3789473684210525,0.3828125,392.0,394.0,55.0,168.0,15.0
3,2.5342105263157895,0.4619140625,473.0,366.0,37.0,148.0,
3,2.6894736842105265,0.583984375,598.0,301.0,11.0,111.0,3.0
3,2.844736842105263,0.6416015625,657.0,296.0,1.0,57.0,13.0
3,3.0,0.67578125,692.0,261.0,4.0,30.0,37.0
